content,label,source
"BJP shares clipped video of Mamata’s speech to claim she ‘mocked demolition of temples’ <p>With the high-stakes Bengal elections weeks away, BJP West Bengal on March 28 shared a 8-second video of a pre-election speech by West Bengal chief minister Mamata Banerjee. The party...</p>
<p>The post <a href=""https://www.altnews.in/bjp-shares-clipped-video-of-mamatas-speech-to-claim-she-mocked-demolition-of-temples/"">BJP shares clipped video of Mamata&#8217;s speech to claim she &#8216;mocked demolition of temples&#8217;</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Muslim woman on fast heckled in office? Rajasthan coaching institute video falsely viral <p>A video circulating widely on social media claims to show a Muslim woman being repeatedly struck with a slipper, with the assailant mockingly saying “Good morning” between blows. Several users...</p>
<p>The post <a href=""https://www.altnews.in/muslim-woman-on-fast-heckled-in-office-rajasthan-coaching-institute-video-falsely-viral/"">Muslim woman on fast heckled in office? Rajasthan coaching institute video falsely viral</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Cartoons, criticism and crackdowns: How Section 69A is being used to silence dissent <p>In recent months, the Government of India has invoked Section 69A of the Information Technology Act, 2000, to block social media posts by several users within the country. Orders shared...</p>
<p>The post <a href=""https://www.altnews.in/government-is-giving-blocking-order-even-on-criticism-and-satire-on-x-blatant-misuse-of-law/"">Cartoons, criticism and crackdowns: How Section 69A is being used to silence dissent</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Varanasi Iftar-on-boat arrests: Complainant’s shifting claims mirror gaps in case against 14 Muslim men <p>In a conversation with Alt News on March 23, the complainant in the Varanasi Iftar-on-boat case offered a series of shifting and evasive responses, mirroring the inconsistencies that now surround...</p>
<p>The post <a href=""https://www.altnews.in/varanasi-iftar-on-boat-arrests-complainants-shifting-claims-mirror-gaps-in-case-against-14-muslim-men/"">Varanasi Iftar-on-boat arrests: Complainant’s shifting claims mirror gaps in case against 14 Muslim men</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Mathura ‘accident’ kills Farsa Baba: False narratives and provocations persist despite police clarification <p>In the early hours of March 21, Chandrashekhar Das — also known as Farsa Baba, a self-styled gau rakshak —was killed after being run over by a truck on the...</p>
<p>The post <a href=""https://www.altnews.in/mathura-accident-kills-farsa-baba-false-narratives-and-provocations-persist-despite-police-clarification/"">Mathura &#8216;accident&#8217; kills Farsa Baba: False narratives and provocations persist despite police clarification</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Hindus celebrating Holi on Eid in Uttam Nagar? Old video from Karnataka falsely viral <p>A 15-second video showing a large crowd dancing in the streets to loud music has gone viral on social media. Saffron flags can be seen across the crowd, which appears...</p>
<p>The post <a href=""https://www.altnews.in/hindus-celebrating-holi-on-eid-in-uttam-nagar-old-video-from-karnataka-falsely-viral/"">Hindus celebrating Holi on Eid in Uttam Nagar? Old video from Karnataka falsely viral</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Democracy withheld? Satirical X handles critical of govt blocked in India <p>On March 18, several X accounts — many of which frequently posted satirical or parody content critical of the BJP government and Prime Minister Narendra Modi — were withheld in...</p>
<p>The post <a href=""https://www.altnews.in/democracy-withheld-satirical-x-handles-critical-of-govt-blocked-in-india/"">Democracy withheld? Satirical X handles critical of govt blocked in India</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Nagpur factory blast killed 20 on March 1: How did five leading English news channels respond? <p>On March 1, 2026, a massive blast at an industrial explosives factory owned by SBL Energy Limited in Maharashtra’s Nagpur district left at least 20 people dead and 23 injured,...</p>
<p>The post <a href=""https://www.altnews.in/nagpur-factory-blast-killed-20-on-march-1-how-did-five-leading-english-news-channels-respond/"">Nagpur factory blast killed 20 on March 1: How did five leading English news channels respond?</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"They said Muslims can’t sit here, tore our clothes, beat us: Survivor recalls Pune Iftar attack; no arrests yet <p>Trigger Warning: Graphic Images of Injury A week after an FIR was registered at Saswad police station in Pune district of Maharashtra in connection with the alleged mob assault on...</p>
<p>The post <a href=""https://www.altnews.in/they-said-muslims-cant-sit-here-tore-our-clothes-beat-us-survivor-recalls-pune-iftar-attack-no-arrests-yet/"">They said Muslims can’t sit here, tore our clothes, beat us: Survivor recalls Pune Iftar attack; no arrests yet</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"Uttam Nagar before Eid: As fear lingers and hate spreads online, a neighbourhood holds its breath <p>In the narrow lanes of Uttam Nagar’s JJ Colony, the signs are hard to miss. Police barricades cut through familiar routes. Riot-control vehicles stand stationed near the main market. At...</p>
<p>The post <a href=""https://www.altnews.in/uttam-nagar-before-eid-as-fear-lingers-and-hate-spreads-online-a-neighbourhood-holds-its-breath/"">Uttam Nagar before Eid: As fear lingers and hate spreads online, a neighbourhood holds its breath</a> appeared first on <a href=""https://www.altnews.in"">Alt News</a>.</p>",0,altnews
"CGI Video Falsely Peddled As Iran Striking US Navy Warship BOOM found clear signs of manipulation in the video, including a visible cursor and a U.S. flag that abruptly appears mid-attack,",0,boomlive
"Old Video Of Flying Crows Viral As Recent Scene From Israel BOOM found that the video has been available online since 2024, with posts identifying the location as Texas in the US.",0,boomlive
Videos From Karnataka And Rajasthan Falsely Shared As Delhi's Uttam Nagar BOOM found that both viral videos are unrelated to Uttam Nagar and originate from Karnataka and Rajasthan.,0,boomlive
"Video Of Destroyed, Abandoned US Fighter Jets Is AI-Generated A test using Google’s AI detector tool SynthID confirmed that the video was made using Google AI.",0,boomlive
2018 Riyadh Drone Video Falsely Shared As Recent Gunfire At Saudi Palace BOOM found that the viral video is from April 2018 and shows a drone being shot down near the Riyadh palace.,0,boomlive
Unrelated Video Shared As Police Action In Delhi's Uttam Nagar During Eid The video shows a lathi-charge incident from Baran district of Rajasthan in February 2026.,0,boomlive
"Old Submarine Video From Gibraltar Falsely Shared As UK Entering Iran War BOOM found that the video is from January 2026 and shows the HMS Anson docked in Gibraltar, not the Arabian Sea.",0,boomlive
"Video Of Al Jazeera Anchor Resigning Over Iran War Coverage Is AI-Generated BOOM found no such broadcast on Al Jazeera, and AI tools and visual inconsistencies suggest the video is synthetic",0,boomlive
